date,trade_count,turnover,commission,trading_pnl,holding_pnl,total_pnl,net_pnl
2023-07-03,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-04,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-05,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-06,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-07,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-10,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-11,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-12,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-13,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-14,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-17,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-18,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-19,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-20,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-21,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-24,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-25,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-26,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-27,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-28,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-02,1,868294.8762597148,217.07371906492872,1439.1627783309377,0.0,1439.1627783309377,1222.089059266009
2023-08-03,1,875490.6901513699,218.87267253784248,7195.813891655125,-1439.1627783309377,5756.6511133241875,5537.778440786345
2023-08-04,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,888000.0,222.0,-9151.26336585774,0.0,-9151.26336585774,-9373.26336585774
2023-08-08,1,880287.8994124732,220.0719748531183,12472.744078868709,-11033.581300537771,1439.1627783309377,1219.0908034778195
2023-08-09,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-10,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-11,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-14,0,0.0,0.0,0.0,0.0,0.0,0.0
